id,transactionHash,fromAddress,fromIsContract,toAddress,toIsContract,tokenAddress,type,blockTimestamp,blockNumber,blockHash,tokenName,tokenSymbol,tokenDecimals,unitValue,tokenId,historicalUSD,chain
0xde1e3e719639ac23cab6d995bc7ab8ba832fd35a25538c336ce8fdbd0a2ef7f3_2,0xde1e3e719639ac23cab6d995bc7ab8ba832fd35a25538c336ce8fdbd0a2ef7f3,"{'address': '0xB38e8c17e38363aF6EbdCb3dAE12e0243582891D', 'chain': 'arbitrum_one', 'arkhamEntity': {'name': 'Binance', 'note': '', 'id': 'binance', 'type': 'cex', 'service': None, 'addresses': None, 'website': 'https://binance.com', 'twitter': 'https://twitter.com/binance', 'crunchbase': 'https://www.crunchbase.com/organization/binance', 'linkedin': 'https://www.linkedin.com/company/binance'}, 'arkhamLabel': {'name': 'Hot Wallet', 'address': '0xB38e8c17e38363aF6EbdCb3dAE12e0243582891D', 'chainType': 'evm'}, 'isUserAddress': False, 'contract': False}",False,"{'address': '0x5DAb6Da8f56FC6f4cb7078322fc867743829cC07', 'chain': 'arbitrum_one', 'arkhamLabel': {'name': 'Crypto.com Deposit', 'address': '0x5DAb6Da8f56FC6f4cb7078322fc867743829cC07', 'chainType': 'evm'}, 'isUserAddress': False, 'contract': False}",False,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,token,2024-05-08T04:33:18Z,209006916,0x802c1bf3d5729e3d20ab179adee28243dc30d2ba1b44c3fcc5f316fdce05e5b9,Tether USD,USDT,6,17173.292482,arbitrum-bridged-usdt-arbitrum,17173.292482,arbitrum_one
0xfe917e3da0dab1c13b9ecb5fec9073eeace96a935cb2b401e48b1dba54c76fb0_11,0xfe917e3da0dab1c13b9ecb5fec9073eeace96a935cb2b401e48b1dba54c76fb0,"{'address': '0xB38e8c17e38363aF6EbdCb3dAE12e0243582891D', 'chain': 'arbitrum_one', 'arkhamEntity': {'name': 'Binance', 'note': '', 'id': 'binance', 'type': 'cex', 'service': None, 'addresses': None, 'website': 'https://binance.com', 'twitter': 'https://twitter.com/binance', 'crunchbase': 'https://www.crunchbase.com/organization/binance', 'linkedin': 'https://www.linkedin.com/company/binance'}, 'arkhamLabel': {'name': 'Hot Wallet', 'address': '0xB38e8c17e38363aF6EbdCb3dAE12e0243582891D', 'chainType': 'evm'}, 'isUserAddress': False, 'contract': False}",False,"{'address': '0x64F5359cDE3B3668dc0b210592194d991D48Dbe7', 'chain': 'arbitrum_one', 'arkhamLabel': {'name': 'MEXC Deposit', 'address': '0x64F5359cDE3B3668dc0b210592194d991D48Dbe7', 'chainType': 'evm'}, 'isUserAddress': False, 'contract': False}",False,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,token,2024-05-08T04:33:11Z,209006889,0xbd0156ffc6b4137246a3677de306e9e4ba14372bf51abf08b462571d5c761ce3,Tether USD,USDT,6,109.55,arbitrum-bridged-usdt-arbitrum,109.55,arbitrum_one
0x9a1723efacd14f0807401f0a0054aa534a1275ac883b27c6d5cf85c836589566,0x9a1723efacd14f0807401f0a0054aa534a1275ac883b27c6d5cf85c836589566,"{'address': '0x6D8bE5cdf0d7DEE1f04E25FD70B001AE3B907824', 'chain': 'avalanche', 'arkhamEntity': {'name': 'Binance', 'note': '', 'id': 'binance', 'type': 'cex', 'service': None, 'addresses': None, 'website': 'https://binance.com', 'twitter': 'https://twitter.com/binance', 'crunchbase': 'https://www.crunchbase.com/organization/binance', 'linkedin': 'https://www.linkedin.com/company/binance'}, 'arkhamLabel': {'name': 'Hot Wallet', 'address': '0x6D8bE5cdf0d7DEE1f04E25FD70B001AE3B907824', 'chainType': 'evm'}, 'isUserAddress': False, 'contract': False}",False,"{'address': '0x96871e6F6134EC5ff93857955db1399596e2142E', 'chain': 'avalanche', 'isUserAddress': False, 'contract': False}",False,,external,2024-05-08T04:33:10Z,45168218,0x542fb8549fd839bfb724723e2c1e669b2914c7699c485271a5a18af7cf9063f1,Avalanche,AVAX,18,15.29069,avalanche-2,539.6084501,avalanche
0x614227ccae45c3ef9338e807b37c099f067d27f858da262b9be2741f06680359,0x614227ccae45c3ef9338e807b37c099f067d27f858da262b9be2741f06680359,"{'address': '0x3304E22DDaa22bCdC5fCa2269b418046aE7b566A', 'chain': 'base', 'arkhamEntity': {'name': 'Binance', 'note': '', 'id': 'binance', 'type': 'cex', 'service': None, 'addresses': None, 'website': 'https://binance.com', 'twitter': 'https://twitter.com/binance', 'crunchbase': 'https://www.crunchbase.com/organization/binance', 'linkedin': 'https://www.linkedin.com/company/binance'}, 'arkhamLabel': {'name': 'Hot Wallet', 'address': '0x3304E22DDaa22bCdC5fCa2269b418046aE7b566A', 'chainType': 'evm'}, 'isUserAddress': False, 'contract': False}",False,"{'address': '0xCc52621CA7EF994155E3b7C7a7f1a7f21D973dDD', 'chain': 'base', 'isUserAddress': False, 'contract': False}",False,,external,2024-05-08T04:33:07Z,14176720,0xf35463487f252c9d69da31f406aad217f11a9c8947973b1f95c28df73b2c3533,Ethereum,ETH,18,0.00996,ethereum,30.17382,base
1bee9187364f6b4f81577264a0a58a0cf63ff072bc019d24335f7c0fb29ab9f9,1bee9187364f6b4f81577264a0a58a0cf63ff072bc019d24335f7c0fb29ab9f9,"{'address': 'TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf', 'chain': 'tron', 'arkhamEntity': {'name': 'Binance', 'note': '', 'id': 'binance', 'type': 'cex', 'service': None, 'addresses': None, 'website': 'https://binance.com', 'twitter': 'https://twitter.com/binance', 'crunchbase': 'https://www.crunchbase.com/organization/binance', 'linkedin': 'https://www.linkedin.com/company/binance'}, 'arkhamLabel': {'name': 'Hot Wallet', 'address': 'TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf', 'chainType': 'tron'}, 'isUserAddress': False, 'contract': False}",False,"{'address': 'TWk1aG3PGMGpMPRWP654LtWJuwiP1Gzgqf', 'chain': 'tron', 'isUserAddress': False, 'contract': False}",False,,2024-05-08T04:33:06Z,61499966,0000000003aa6a3e4534823cd5ab9cd2add5385849890ce79c05e3c8c7050fc0,Tron,TRX,6,29085.61,tron,3527.27009592,,tron
cf82f5225cb0c08dca5ba5cdfb59877a0b8418c76c4c5cf5a4d332b579fbb83b_0,cf82f5225cb0c08dca5ba5cdfb59877a0b8418c76c4c5cf5a4d332b579fbb83b,"{'address': 'TYASr5UV6HEcXatwdFQfmLVUqQQQMUxHLS', 'chain': 'tron', 'arkhamEntity': {'name': 'Binance', 'note': '', 'id': 'binance', 'type': 'cex', 'service': None, 'addresses': None, 'website': 'https://binance.com', 'twitter': 'https://twitter.com/binance', 'crunchbase': 'https://www.crunchbase.com/organization/binance', 'linkedin': 'https://www.linkedin.com/company/binance'}, 'arkhamLabel': {'name': 'Withdrawal Hot Wallet', 'address': 'TYASr5UV6HEcXatwdFQfmLVUqQQQMUxHLS', 'chainType': 'tron'}, 'isUserAddress': False, 'contract': False}",False,"{'address': 'TKyZwYDWLPw12qdhq1kecn47VDhQwyyZ6N', 'chain': 'tron', 'isUserAddress': False, 'contract': False}",False,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,2024-05-08T04:33:06Z,61499966,0000000003aa6a3e4534823cd5ab9cd2add5385849890ce79c05e3c8c7050fc0,Tether USD,USDT,6,277,tether,277,,tron
cb886ffb40164ad950511fa805e046c753fd626521ca4616320cb002dbdd2dce_0,cb886ffb40164ad950511fa805e046c753fd626521ca4616320cb002dbdd2dce,"{'address': 'TNXoiAJ3dct8Fjg4M9fkLFh9S2v9TXc32G', 'chain': 'tron', 'arkhamEntity': {'name': 'Binance', 'note': '', 'id': 'binance', 'type': 'cex', 'service': None, 'addresses': None, 'website': 'https://binance.com', 'twitter': 'https://twitter.com/binance', 'crunchbase': 'https://www.crunchbase.com/organization/binance', 'linkedin': 'https://www.linkedin.com/company/binance'}, 'arkhamLabel': {'name': 'Withdrawal Hot Wallet', 'address': 'TNXoiAJ3dct8Fjg4M9fkLFh9S2v9TXc32G', 'chainType': 'tron'}, 'isUserAddress': False, 'contract': False}",False,"{'address': 'TRiftoMKo1GidsUjtDNx813PNZ2tfTHuPW', 'chain': 'tron', 'isUserAddress': False, 'contract': False}",False,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,2024-05-08T04:33:06Z,61499966,0000000003aa6a3e4534823cd5ab9cd2add5385849890ce79c05e3c8c7050fc0,Tether USD,USDT,6,46558,tether,46558,,tron
7cccc05a27f2ef16ec3f1162ad7504bb9dc78f9c8341256a92c877866dc27d2b_0,7cccc05a27f2ef16ec3f1162ad7504bb9dc78f9c8341256a92c877866dc27d2b,"{'address': 'TAzsQ9Gx8eqFNFSKbeXrbi45CuVPHzA8wr', 'chain': 'tron', 'arkhamEntity': {'name': 'Binance', 'note': '', 'id': 'binance', 'type': 'cex', 'service': None, 'addresses': None, 'website': 'https://binance.com', 'twitter': 'https://twitter.com/binance', 'crunchbase': 'https://www.crunchbase.com/organization/binance', 'linkedin': 'https://www.linkedin.com/company/binance'}, 'arkhamLabel': {'name': 'Withdrawal Hot Wallet', 'address': 'TAzsQ9Gx8eqFNFSKbeXrbi45CuVPHzA8wr', 'chainType': 'tron'}, 'isUserAddress': False, 'contract': False}",False,"{'address': 'TGcCoVpyyWaVq6GnL3UPBB1aDYygKk2YXW', 'chain': 'tron', 'arkhamLabel': {'name': 'Bybit Deposit', 'address': 'TGcCoVpyyWaVq6GnL3UPBB1aDYygKk2YXW', 'chainType': 'tron'}, 'isUserAddress': False, 'contract': False}",False,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,2024-05-08T04:33:06Z,61499966,0000000003aa6a3e4534823cd5ab9cd2add5385849890ce79c05e3c8c7050fc0,Tether USD,USDT,6,96,tether,96,,tron
d5dd9d729e2cdb69e3c94a263f76560f166f00cb3a987ca2e8f27bd84d1771d6_0,d5dd9d729e2cdb69e3c94a263f76560f166f00cb3a987ca2e8f27bd84d1771d6,"{'address': 'TQrY8tryqsYVCYS3MFbtffiPp2ccyn4STm', 'chain': 'tron', 'arkhamEntity': {'name': 'Binance', 'note': '', 'id': 'binance', 'type': 'cex', 'service': None, 'addresses': None, 'website': 'https://binance.com', 'twitter': 'https://twitter.com/binance', 'crunchbase': 'https://www.crunchbase.com/organization/binance', 'linkedin': 'https://www.linkedin.com/company/binance'}, 'arkhamLabel': {'name': 'Withdrawal Hot Wallet', 'address': 'TQrY8tryqsYVCYS3MFbtffiPp2ccyn4STm', 'chainType': 'tron'}, 'isUserAddress': False, 'contract': False}",False,"{'address': 'TJ7ETuVgRK3Ji2UnxYhHQRagQhqyR7zPGU', 'chain': 'tron', 'isUserAddress': False, 'contract': True}",True,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,2024-05-08T04:33:06Z,61499966,0000000003aa6a3e4534823cd5ab9cd2add5385849890ce79c05e3c8c7050fc0,Tether USD,USDT,6,60,tether,60,,tron
0x0511cf0ae844914510d66dfc3d06c216d5806f2e96f73f403ea11f5d4eb8cc39_15,0x0511cf0ae844914510d66dfc3d06c216d5806f2e96f73f403ea11f5d4eb8cc39,"{'address': '0xB38e8c17e38363aF6EbdCb3dAE12e0243582891D', 'chain': 'arbitrum_one', 'arkhamEntity': {'name': 'Binance', 'note': '', 'id': 'binance', 'type': 'cex', 'service': None, 'addresses': None, 'website': 'https://binance.com', 'twitter': 'https://twitter.com/binance', 'crunchbase': 'https://www.crunchbase.com/organization/binance', 'linkedin': 'https://www.linkedin.com/company/binance'}, 'arkhamLabel': {'name': 'Hot Wallet', 'address': '0xB38e8c17e38363aF6EbdCb3dAE12e0243582891D', 'chainType': 'evm'}, 'isUserAddress': False, 'contract': False}",False,"{'address': '0x32C911de79A20E5DEbA75568DA4Bae9420b53e68', 'chain': 'arbitrum_one', 'isUserAddress': False, 'contract': False}",False,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,token,2024-05-08T04:33:04Z,209006861,0xe48ae914203404be925b5649c900f71f9f6e46fc1280bc7856cdcd04b0129dd4,USD Coin,USDC,6,2.182612,usd-coin,2.182612,arbitrum_one
